"","X","age","animation_time_between_frames","appeared_in_n_back_task","condition","date","difficulty","difficulty_category","image_folder_path","image_name","n_back_block_total","n_back_blocks_reversed","n_back_display_time","n_back_focal_image_height","n_back_image_overlap","n_back_interstimulus_interval","n_back_max_difficulty","n_back_max_errors_to_raise_difficulty","n_back_min_errors_to_lower_difficulty","n_back_practice_max_difficulty","n_back_prime_image_height","n_back_prime_list_name","n_back_start_difficulty","n_back_task","n_back_task_critical_age","output_location","participant","participant_num","position","practice_run","prime_image_display_time","prime_task","reaction_time","response_time","set","user_response","younger_than_or_at_critical_age","response_correct","response_uncertain"
"34",34,18,1,0,0,"Tue Oct  9 12:29:28 2018",7,"old","images/prime/task/B/flower","flower",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,33,1,1.5,1,0.165189027786,NA,"B","flower",0,1,0
"35",35,18,1,0,0,"Tue Oct  9 12:29:28 2018",6,"old","images/prime/task/B/apple","apple",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,34,1,1.5,1,0.357813835144,NA,"B","apple",0,1,0
"36",36,18,1,0,0,"Tue Oct  9 12:29:28 2018",6,"old","images/prime/task/B/guitar","guitar",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,35,1,1.5,1,0.0515279769897,NA,"B","guitar",0,1,0
"37",37,18,1,0,0,"Tue Oct  9 12:29:28 2018",8,"old","images/prime/task/B/candle","candle",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,36,1,1.5,1,0.559273004532,NA,"B","candle",0,1,0
"38",38,18,1,0,0,"Tue Oct  9 12:29:28 2018",5,"old","images/prime/task/B/pumpkin","pumpkin",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,37,1,1.5,1,0.620045185089,NA,"B","pumpkin",0,1,0
"39",39,18,1,0,0,"Tue Oct  9 12:29:28 2018",7,"old","images/prime/task/B/mountain","mountain",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,38,1,1.5,1,0.22939491272,NA,"B","mountain",0,1,0
"40",40,18,1,1,0,"Tue Oct  9 12:29:28 2018",7,"old","images/prime/task/A/monkey","monkey",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,39,1,1.5,1,0.745897054672,NA,"A","monkey",0,1,0
"41",41,18,1,0,0,"Tue Oct  9 12:29:28 2018",5,"old","images/prime/task/B/bowl","bowl",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,40,1,1.5,1,0.847187042236,NA,"B","bowl",0,1,0
"42",42,18,1,0,0,"Tue Oct  9 12:29:28 2018",5,"old","images/prime/task/B/elephant","elephant",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,41,1,1.5,1,0.744799137115,NA,"B","elephant",0,1,0
"43",43,18,1,0,0,"Tue Oct  9 12:29:28 2018",5,"old","images/prime/task/B/ear","ear",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,42,1,1.5,1,1.02957701683,NA,"B","ear",0,1,0
"44",44,18,1,1,0,"Tue Oct  9 12:29:28 2018",6,"old","images/prime/task/A/bed","bed",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,43,1,1.5,1,1.43564200401,NA,"A","bed",0,1,0
"45",45,18,1,1,0,"Tue Oct  9 12:29:28 2018",5,"old","images/prime/task/A/horse","horse",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,44,1,1.5,1,0.785650014877,NA,"A","horse",0,1,0
"46",46,18,1,1,0,"Tue Oct  9 12:29:28 2018",6,"old","images/prime/task/A/piano","piano",4,1,1,10,1,0.5,3,3,5,2,10,"A",1,1,6,"data","A024",24,45,1,1.5,1,0.821766853333,NA,"A","piano",0,1,0
