,X,age,animation_time_between_frames,appeared_in_n_back_task,condition,date,difficulty,difficulty_category,image_folder_path,image_name,n_back_block_total,n_back_blocks_reversed,n_back_display_time,n_back_focal_image_height,n_back_image_overlap,n_back_interstimulus_interval,n_back_max_difficulty,n_back_max_errors_to_raise_difficulty,n_back_min_errors_to_lower_difficulty,n_back_practice_max_difficulty,n_back_prime_image_height,n_back_prime_list_name,n_back_start_difficulty,n_back_task,n_back_task_critical_age,output_location,participant,participant_num,position,practice_run,prime_image_display_time,prime_task,reaction_time,response_time,set,user_response,younger_than_or_at_critical_age,response_correct,response_uncertain
29,29,8,1,1,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/A/clock,clock,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,28,1,1.5,1,0.014649153,NA,A,clock,0,1,0
30,30,8,1,1,1,Sat May 25 15:50:04 2019,7,old,images/prime/task/A/whistle,whistle,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,29,1,1.5,1,1.503224134,NA,A,whistle,0,1,0
31,31,8,1,1,1,Sat May 25 15:50:04 2019,8,old,images/prime/task/A/grapes,grapes,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,30,1,1.5,1,1.293972969,NA,A,grapes,0,1,0
32,32,8,1,0,1,Sat May 25 15:50:04 2019,7,old,images/prime/task/B/glasses,glasses,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,31,1,1.5,1,1.358242989,NA,B,glasses,0,1,0
33,33,8,1,1,1,Sat May 25 15:50:04 2019,8,old,images/prime/task/A/pear,pear,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,32,1,1.5,1,1.090659142,NA,A,pear,0,1,0
34,34,8,1,0,1,Sat May 25 15:50:04 2019,7,old,images/prime/task/B/kangaroo,kangaroo,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,33,1,1.5,1,0.855285883,NA,B,kangaroo,0,1,0
35,35,8,1,0,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/B/elephant,elephant,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,34,1,1.5,1,0.046941996,NA,B,elephant,0,1,0
36,36,8,1,0,1,Sat May 25 15:50:04 2019,7,old,images/prime/task/B/flower,flower,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,35,1,1.5,1,1.014473915,NA,B,flower,0,1,0
37,37,8,1,0,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/B/bowl,bowl,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,36,1,1.5,1,0.321491957,NA,B,bowl,0,1,0
38,38,8,1,1,1,Sat May 25 15:50:04 2019,7,old,images/prime/task/A/piano,piano,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,37,1,1.5,1,0.350014925,NA,A,piano,0,1,0
39,39,8,1,0,1,Sat May 25 15:50:04 2019,7,old,images/prime/task/B/hand,hand,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,38,1,1.5,1,1.15594697,NA,B,hand,0,1,0
40,40,8,1,1,1,Sat May 25 15:50:04 2019,7,old,images/prime/task/A/hanger,hanger,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,39,1,1.5,1,0.13292098,NA,A,hanger,0,1,0
41,41,8,1,1,1,Sat May 25 15:50:04 2019,7,old,images/prime/task/A/watch,watch,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,40,1,1.5,1,1.212667942,NA,A,watch,0,1,0
42,42,8,1,0,1,Sat May 25 15:50:04 2019,8,old,images/prime/task/B/sandwich,sandwich,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,41,1,1.5,1,0.645358086,NA,B,sandwich,0,1,0
43,43,8,1,0,1,Sat May 25 15:50:04 2019,7,old,images/prime/task/B/pumpkin,pumpkin,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,42,1,1.5,1,0.240552902,NA,B,pumpkin,0,1,0
44,44,8,1,1,1,Sat May 25 15:50:04 2019,4,old,images/prime/task/A/table,table,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,43,1,1.5,1,0.600326777,NA,A,table,0,1,0
45,45,8,1,0,1,Sat May 25 15:50:04 2019,6,old,images/prime/task/B/guitar,guitar,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,44,1,1.5,1,0.181689978,NA,B,guitar,0,1,0
46,46,8,1,1,1,Sat May 25 15:50:04 2019,7,old,images/prime/task/A/ladder,ladder,4,0,1,10,1,0.5,3,3,5,2,10,A,1,1,6,data,C1081,1081,45,1,1.5,1,1.14130187,NA,A,ladder,0,1,0
