,X,age,animation_time_between_frames,appeared_in_n_back_task,condition,date,difficulty,difficulty_category,image_folder_path,image_name,n_back_block_total,n_back_blocks_reversed,n_back_display_time,n_back_focal_image_height,n_back_image_overlap,n_back_interstimulus_interval,n_back_max_difficulty,n_back_max_errors_to_raise_difficulty,n_back_min_errors_to_lower_difficulty,n_back_practice_max_difficulty,n_back_prime_image_height,n_back_prime_list_name,n_back_start_difficulty,n_back_task,n_back_task_critical_age,output_location,participant,participant_num,position,practice_run,prime_image_display_time,prime_task,reaction_time,response_time,set,user_response,younger_than_or_at_critical_age,response_correct,response_uncertain
23,23,18,1,0,3,Mon Oct  1 17:02:00 2018,7,old,images/prime/task/A/watch,watch,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,22,1,1.5,1,1.273372889,NA,A,watch,0,1,0
24,24,18,1,0,3,Mon Oct  1 17:02:00 2018,6,old,images/prime/task/A/bed,bed,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,23,1,1.5,1,0.916124105,NA,A,bed,0,1,0
25,25,18,1,0,3,Mon Oct  1 17:02:00 2018,7,old,images/prime/task/A/truck,truck,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,24,1,1.5,1,0.043026924,NA,A,truck,0,1,0
26,26,18,1,0,3,Mon Oct  1 17:02:00 2018,6,old,images/prime/task/A/fish,fish,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,25,1,1.5,1,0.950967073,NA,A,fish,0,1,0
27,27,18,1,1,3,Mon Oct  1 17:02:00 2018,6,old,images/prime/task/B/candle,candle,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,26,1,1.5,1,0.290745974,NA,B,candle,0,1,0
28,28,18,1,0,3,Mon Oct  1 17:02:00 2018,5,old,images/prime/task/A/kite,kite,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,27,1,1.5,1,1.226180077,NA,A,kite,0,1,0
29,29,18,1,1,3,Mon Oct  1 17:02:00 2018,6,old,images/prime/task/B/key,key,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,28,1,1.5,1,0.220545053,NA,B,key,0,1,0
30,30,18,1,1,3,Mon Oct  1 17:02:00 2018,6,old,images/prime/task/B/ball,ball,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,29,1,1.5,1,1.323433161,NA,B,ball,0,1,0
31,31,18,1,1,3,Mon Oct  1 17:02:00 2018,5,old,images/prime/task/B/camel,camel,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,30,1,1.5,1,0.687923908,NA,B,camel,0,1,0
32,32,18,1,1,3,Mon Oct  1 17:02:00 2018,5,old,images/prime/task/B/pumpkin,pumpkin,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,31,1,1.5,1,0.456576109,NA,B,face,0,0,0
33,33,18,1,1,3,Mon Oct  1 17:02:00 2018,6,old,images/prime/task/B/hand,hand,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,32,1,1.5,1,0.616707087,NA,B,hand,0,1,0
34,34,18,1,0,3,Mon Oct  1 17:02:00 2018,7,old,images/prime/task/A/whistle,whistle,4,0,1,10,1,0.5,3,3,5,2,10,B,1,1,6,data,A019,19,33,1,1.5,1,1.078379154,NA,A,whistle,0,1,0
